##event_type	event_id	chr	strand	e1	e2	e3	e4	alt_transcript_supports	event_coordinate
CAS	chr1:-:TMED5:CAS:1	chr1	-	93625686:93625783	93624372:93624442	93621857:93622040	N/A	NM_001167830,NR_030761;NM_016040,NR_030761	chr1:93621857-93625783
AFE	chr1:-:TMEM200B:AFE:0	chr1	-	29450368:29450421	29448876:29449013	29445937:29448360	N/A	NM_001003682,NM_001171868	chr1:29445937-29450421
CAS	chr1:+:TMEM222:CAS:0	chr1	+	27657211:27657295	27657476:27657628	27658561:27658592	N/A	NM_032125,NR_037576;NM_032125,NR_037580;NR_037577,NR_037576;NR_037577,NR_037580	chr1:27657211-27658592
CAS	chr1:+:TMEM222:CAS:1	chr1	+	27660642:27660772	27661158:27661245	27661870:27662891	N/A	NM_032125,NR_037577;NM_032125,NR_037580;NR_037576,NR_037577;NR_037576,NR_037580	chr1:27660642-27662891
AFE	chr1:+:TMEM51:AFE:0	chr1	+	15479028:15479280	15480229:15480450	15536986:15537058	N/A	NM_001136216,NM_001136218	chr1:15479028-15537058
AFE	chr1:+:TMEM51:AFE:1	chr1	+	15479028:15479280	15480229:15480450	15541391:15541927	N/A	NM_001136217,NM_018022	chr1:15479028-15541927
AFE	chr1:+:TMEM56:AFE:0	chr1	+	95558073:95558437	95582894:95583173	95609447:95609612	N/A	NM_001199679,NM_152487	chr1:95558073-95609612
AFE	chr1:+:TMEM79:AFE:0	chr1	+	156252704:156252856	156254070:156254197	156254975:156255774	N/A	NR_026678,NM_032323	chr1:156252704-156255774
A5SS	chr1:-:TMEM9:A5SS:0	chr1	-	201115899:201115976	201115868:201115976	201112948:201113079	N/A	NR_109921,NM_001288564;NR_109921,NM_001288565;NR_109921,NM_001288566;NR_109921,NM_001288567;NR_109921,NM_001288568;NR_109921,NM_001288569;NR_109921,NM_001288570;NR_109921,NM_001288571;NR_109921,NM_016456	chr1:201112948-201115976
A5SS	chr1:-:TMEM9:A5SS:1	chr1	-	201122977:201123087	201122911:201123087	201120889:201120980	N/A	NM_001288570,NM_001288571	chr1:201120889-201123087
A5SS	chr1:-:TMEM9:A5SS:2	chr1	-	201122986:201123087	201122911:201123087	201120889:201120980	N/A	NM_001288564,NM_001288571;NM_001288566,NM_001288571;NM_001288567,NM_001288571;NM_001288568,NM_001288571;NM_001288569,NM_001288571;NM_016456,NM_001288571;NR_109920,NM_001288571	chr1:201120889-201123087
A5SS	chr1:-:TMEM9:A5SS:3	chr1	-	201122986:201123087	201122977:201123087	201120889:201120980	N/A	NM_001288564,NM_001288570;NM_001288566,NM_001288570;NM_001288567,NM_001288570;NM_001288568,NM_001288570;NM_001288569,NM_001288570;NM_016456,NM_001288570;NR_109920,NM_001288570	chr1:201120889-201123087
AFE	chr1:-:TMEM9:AFE:0	chr1	-	201140618:201140710	201123276:201123683	201122986:201123087	N/A	NM_001288564,NM_001288567	chr1:201122986-201140710
AFE	chr1:-:TMEM9:AFE:1	chr1	-	201140618:201140710	201123438:201123683	201122986:201123087	N/A	NM_001288564,NM_001288568	chr1:201122986-201140710
AFE	chr1:-:TMEM9:AFE:2	chr1	-	201140618:201140710	201123490:201123683	201122986:201123087	N/A	NM_001288564,NM_001288566	chr1:201122986-201140710
AFE	chr1:-:TMEM9:AFE:3	chr1	-	201140618:201140710	201123573:201123683	201122986:201123087	N/A	NM_001288564,NM_016456;NM_001288564,NR_109920	chr1:201122986-201140710
AFE	chr1:-:TMEM9:AFE:4	chr1	-	201140618:201140710	201123577:201123683	201122986:201123087	N/A	NM_001288564,NM_001288569	chr1:201122986-201140710
CAS	chr1:+:TNFRSF14:CAS:0	chr1	+	2492063:2492153	2493112:2493254	2494304:2494335	N/A	NM_001297605,NM_003820	chr1:2492063-2494335
A5SS	chr1:-:TNFRSF18:A5SS:0	chr1	-	1139435:1139616	1139414:1139616	1138888:1139348	N/A	NM_148902,NM_004195	chr1:1138888-1139616
CAS	chr1:+:TNFRSF8:CAS:0	chr1	+	12123434:12123718	12144521:12144608	12157158:12157274	N/A	NM_001281430,NM_001243	chr1:12123434-12157274
A3SS	chr1:+:TNFRSF8:A3SS:0	chr1	+	12195645:12195670	12198286:12198493	12198289:12198493	N/A	NM_001281430,NM_001243	chr1:12195645-12198493
AFE	chr1:-:TNFSF4:AFE:0	chr1	-	173176163:173176452	173174450:173174697	173157660:173157708	N/A	NM_003326,NM_001297562	chr1:173157660-173176452
CAS	chr1:-:TNNT2:CAS:0	chr1	-	201334738:201334798	201334319:201334435	201333426:201333503	N/A	NM_001276346,NM_000364;NM_001276346,NM_001001430;NM_001276346,NM_001001431;NM_001276346,NM_001001432;NM_001276346,NM_001276345;NM_001276346,NM_001276347	chr1:201333426-201334798
A3SS	chr1:-:TNNT2:A3SS:0	chr1	-	201337290:201337355	201336899:201336934	201336899:201336931	N/A	NM_001276346,NM_000364;NM_001276346,NM_001001430;NM_001276346,NM_001001431;NM_001276346,NM_001001432;NM_001276346,NM_001276345;NM_001276346,NM_001276347	chr1:201336899-201337355
A3SS	chr1:-:TNNT2:A3SS:1	chr1	-	201346751:201346828	201342342:201342529	201342342:201342396	N/A	NM_000364,NM_001276347;NM_001001430,NM_001276347;NM_001001431,NM_001276347;NM_001276345,NM_001276347;NM_001276346,NM_001276347	chr1:201342342-201346828
A3SS	chr1:+:TOR1AIP1:A3SS:0	chr1	+	179853827:179853904	179858445:179858504	179858448:179858504	N/A	NM_015602,NM_001267578	chr1:179853827-179858504
CAS	chr1:-:TP53BP2:CAS:0	chr1	-	224008922:224009069	224005908:224006039	224001942:224002055	N/A	NM_001031685,NM_005426	chr1:224001942-224009069
AFE	chr1:+:TP73:AFE:0	chr1	+	3607236:3607508	3614610:3614715	3624113:3624355	N/A	NM_001126240,NM_001204192;NM_001126241,NM_001204192;NM_001126242,NM_001204192;NM_001204189,NM_001204192;NM_001204190,NM_001204192;NM_001204191,NM_001204192	chr1:3607236-3624355
A3SS	chr1:-:TP73-AS1:A3SS:0	chr1	-	3659625:3659754	3659368:3659521	3659368:3659475	N/A	NR_033709,NR_033708;NR_033710,NR_033708;NR_033711,NR_033708;NR_033712,NR_033708	chr1:3659368-3659754
A3SS	chr1:-:TPM3:A3SS:0	chr1	-	154143125:154143187	154142876:154142945	154142876:154142941	N/A	NR_103461,NM_001043351;NR_103461,NM_001043352;NR_103461,NM_001043353;NR_103461,NM_001278188;NR_103461,NM_001278189;NR_103461,NM_001278191;NR_103461,NM_152263;NR_103461,NM_153649	chr1:154142876-154143187
AFE	chr1:-:TPM3:AFE:0	chr1	-	154155464:154155725	154150590:154150697	154148591:154148724	N/A	NM_001043351,NM_001278191;NM_001043352,NM_001278191;NM_001043353,NM_001278191;NM_001278189,NM_001278191;NM_001278190,NM_001278191;NM_153649,NM_001278191;NR_103461,NM_001278191	chr1:154148591-154155725
ALE	chr1:-:TPM3:ALE:0	chr1	-	154141781:154141859	154134289:154140416	154127780:154130197	N/A	NM_001278189,NM_152263	chr1:154127780-154141859
CAS	chr1:+:TRAF3IP3:CAS:0	chr1	+	209948944:209949081	209950697:209950832	209951456:209951518	N/A	NR_109871,NM_001287754;NR_109871,NM_025228	chr1:209948944-209951518
AFE	chr1:+:TRAF5:AFE:0	chr1	+	211499957:211500015	211500148:211500231	211526581:211526799	N/A	NM_004619,NM_001033910	chr1:211499957-211526799
AFE	chr1:+:TRAF5:AFE:1	chr1	+	211499957:211500015	211519706:211519764	211526581:211526799	N/A	NM_004619,NM_145759	chr1:211499957-211526799
AFE	chr1:+:TRAF5:AFE:2	chr1	+	211500148:211500231	211519706:211519764	211526581:211526799	N/A	NM_001033910,NM_145759	chr1:211500148-211526799
A3SS	chr1:-:TRAPPC3:A3SS:0	chr1	-	36605670:36605767	36605321:36605444	36605321:36605420	N/A	NM_001270895,NM_001270894;NM_001270896,NM_001270894;NM_014408,NM_001270894	chr1:36605321-36605767
AFE	chr1:-:TRAPPC3:AFE:0	chr1	-	36621484:36621654	36614693:36615115	36605670:36605767	N/A	NM_001270895,NM_001270896	chr1:36605670-36621654
AFE	chr1:-:TRAPPC3:AFE:1	chr1	-	36621484:36621654	36614938:36615115	36605670:36605767	N/A	NM_001270895,NM_001270894;NM_001270895,NM_014408	chr1:36605670-36621654
A3SS	chr1:-:TRIM17:A3SS:0	chr1	-	228604240:228604583	228602345:228602814	228602345:228602778	N/A	NM_001024940,NM_016102	chr1:228602345-228604583
CAS	chr1:-:TRIM33:CAS:0	chr1	-	114942079:114942231	114940562:114940612	114935399:114940482	N/A	NM_033020,NM_015906	chr1:114935399-114942231
A5SS	chr1:-:TRIM45:A5SS:0	chr1	-	117660710:117661389	117660656:117661389	117659238:117659367	N/A	NM_001145635,NM_025188	chr1:117659238-117661389
CAS	chr1:+:TRIM46:CAS:0	chr1	+	155150968:155151089	155151285:155151322	155152108:155152410	N/A	NM_001256599,NR_046327;NM_001256599,NR_046329;NM_001256599,NR_104150;NM_001256600,NR_046327;NM_001256600,NR_046329;NM_001256600,NR_104150;NM_001256601,NR_046327;NM_001256601,NR_046329;NM_001256601,NR_104150;NM_001282378,NR_046327;NM_001282378,NR_046329;NM_001282378,NR_104150;NM_001282379,NR_046327;NM_001282379,NR_046329;NM_001282379,NR_104150;NM_025058,NR_046327;NM_025058,NR_046329;NM_025058,NR_104150	chr1:155150968-155152410
AFE	chr1:+:TRIM46:AFE:0	chr1	+	155146263:155146505	155147230:155147313	155147862:155148123	N/A	NM_001282379,NM_001256601;NM_025058,NM_001256601;NR_046327,NM_001256601;NR_104150,NM_001256601	chr1:155146263-155148123
AFE	chr1:+:TRIM46:AFE:1	chr1	+	155146263:155146515	155147230:155147313	155147862:155148123	N/A	NM_001256599,NM_001256601	chr1:155146263-155148123
CAS	chr1:+:TRNAU1AP:CAS:0	chr1	+	28887145:28887244	28887625:28887772	28887858:28887910	N/A	NM_017846,NR_003109	chr1:28887145-28887910
A5SS	chr1:+:TROVE2:A5SS:0	chr1	+	193053709:193053787	193053709:193053828	193060781:193060906	N/A	NM_001042369,NM_001042370	chr1:193053709-193060906
AFE	chr1:+:TROVE2:AFE:0	chr1	+	193028552:193028906	193029004:193029352	193038164:193038764	N/A	NM_001173524,NM_001042369;NM_001173524,NM_001042370;NM_001173524,NM_001173525;NM_001173524,NM_004600	chr1:193028552-193038764
ALE	chr1:+:TSNAX-DISC1:ALE:0	chr1	+	231829572:231830551	231837701:231838307	231885672:231886365	N/A	NR_028400,NR_028399	chr1:231829572-231886365
A3SS	chr1:-:TTC13:A3SS:0	chr1	-	231056256:231056340	231051939:231052048	231051939:231052045	N/A	NM_001122835,NM_024525	chr1:231051939-231056340
AFE	chr1:-:TTC39A:AFE:0	chr1	-	51810663:51810785	51787790:51787938	51787393:51787497	N/A	NM_001144832,NM_001080494	chr1:51787393-51810785
CAS	chr1:+:TUFT1:CAS:0	chr1	+	151512781:151512902	151534567:151534641	151535061:151535162	N/A	NM_001126337,NM_020127	chr1:151512781-151535162
CAS	chr1:+:TYW3:CAS:0	chr1	+	75202226:75202306	75204374:75204472	75214435:75214506	N/A	NM_001162916,NM_138467;NM_001162916,NR_027962	chr1:75202226-75214506
A5SS	chr1:+:UBAP2L:A5SS:0	chr1	+	154207067:154207214	154207067:154207235	154207672:154207767	N/A	NM_001287815,NM_001127320;NM_001287815,NM_014847	chr1:154207067-154207767
A5SS	chr1:+:UBAP2L:A5SS:1	chr1	+	154207067:154207214	154207067:154207268	154207672:154207767	N/A	NM_001287815,NM_001287816	chr1:154207067-154207767
A5SS	chr1:+:UBAP2L:A5SS:2	chr1	+	154207067:154207235	154207067:154207268	154207672:154207767	N/A	NM_001127320,NM_001287816;NM_014847,NM_001287816	chr1:154207067-154207767
A3SS	chr1:+:UBAP2L:A3SS:0	chr1	+	154238977:154239044	154241233:154241430	154241236:154241430	N/A	NM_001287816,NM_014847	chr1:154238977-154241430
AFE	chr1:+:UBAP2L:AFE:0	chr1	+	154192648:154192720	154193325:154193451	154197560:154197689	N/A	NM_001127320,NM_001287815;NM_001127320,NM_001287816;NM_001127320,NM_014847	chr1:154192648-154197689
A5SS	chr1:-:UBE2J2:A5SS:0	chr1	-	1203242:1203372	1203113:1203372	1198726:1198766	N/A	NM_058167,NM_194458	chr1:1198726-1203372
CAS	chr1:+:UBE4B:CAS:0	chr1	+	10165574:10165802	10166255:10166641	10177517:10177658	N/A	NM_006048,NM_001105562	chr1:10165574-10177658
CAS	chr1:-:UBXN11:CAS:0	chr1	-	26633083:26633195	26629534:26629658	26629304:26629409	N/A	NM_001077262,NM_183008;NM_145345,NM_183008	chr1:26629304-26633195
A3SS	chr1:-:UCHL5:A3SS:0	chr1	-	192992974:192993076	192992056:192992169	192992056:192992166	N/A	NM_001199261,NM_015984;NM_001199262,NM_015984;NM_001199263,NM_015984;NR_037607,NM_015984	chr1:192992056-192993076
AFE	chr1:-:UCHL5:AFE:0	chr1	-	193028763:193029237	193028315:193028523	193020884:193020947	N/A	NR_037607,NM_001199261;NR_037607,NM_001199262;NR_037607,NM_001199263;NR_037607,NM_015984	chr1:193020884-193029237
ALE	chr1:-:UCHL5:ALE:0	chr1	-	192990227:192990325	192987535:192987950	192981496:192985525	N/A	NM_001199261,NM_001199263;NM_015984,NM_001199263	chr1:192981496-192990325
ALE	chr1:-:UCHL5:ALE:1	chr1	-	192990227:192990325	192989017:192989586	192981496:192985525	N/A	NM_001199261,NR_037607;NM_015984,NR_037607	chr1:192981496-192990325
ALE	chr1:-:UCHL5:ALE:2	chr1	-	192990227:192990325	192989017:192989586	192987535:192987950	N/A	NM_001199263,NR_037607	chr1:192987535-192990325
CAS	chr1:+:UHMK1:CAS:0	chr1	+	162482515:162482613	162487892:162487980	162492194:162499419	N/A	NM_144624,NM_001184763;NM_144624,NM_175866	chr1:162482515-162499419
AFE	chr1:+:UHMK1:AFE:0	chr1	+	162466964:162467086	162467595:162468058	162469745:162470037	N/A	NM_001184763,NM_144624;NM_001184763,NM_175866	chr1:162466964-162470037
A3SS	chr1:+:UROD:A3SS:0	chr1	+	45477805:45477957	45478529:45478691	45478579:45478691	N/A	NM_000374,NR_036510	chr1:45477805-45478691
A5SS	chr1:-:USF1:A5SS:0	chr1	-	161012376:161012460	161012345:161012460	161011906:161012007	N/A	NM_207005,NM_001276373;NM_207005,NM_007122	chr1:161011906-161012460
AFE	chr1:-:USF1:AFE:0	chr1	-	161015648:161015769	161014702:161014727	161013058:161013150	N/A	NM_007122,NM_001276373;NM_207005,NM_001276373	chr1:161013058-161015769
AFE	chr1:+:USP1:AFE:0	chr1	+	62901975:62902138	62902383:62903071	62905470:62905708	N/A	NM_001017416,NM_003368	chr1:62901975-62905708
AFE	chr1:+:USP1:AFE:1	chr1	+	62901975:62902233	62902383:62903071	62905470:62905708	N/A	NM_001017415,NM_003368	chr1:62901975-62905708
CAS	chr1:+:USP21:CAS:0	chr1	+	161129254:161129468	161130156:161130296	161130410:161131030	N/A	NM_012475,NM_001014443	chr1:161129254-161131030
CAS	chr1:-:USP33:CAS:0	chr1	-	78225328:78225564	78211106:78211284	78207302:78207433	N/A	NM_201624,NM_015017;NM_201624,NM_201626	chr1:78207302-78225564
A3SS	chr1:-:USP33:A3SS:0	chr1	-	78187709:78187881	78187516:78187610	78187516:78187586	N/A	NM_201626,NM_015017;NM_201626,NM_201624	chr1:78187516-78187881
A3SS	chr1:-:VAMP4:A3SS:0	chr1	-	171697664:171697710	171688311:171688361	171688311:171688358	N/A	NM_001185127,NM_003762;NM_001185127,NR_033704	chr1:171688311-171697710
A5SS	chr1:+:VANGL1:A5SS:0	chr1	+	116202262:116202388	116202262:116202394	116206282:116206889	N/A	NM_001172411,NM_001172412;NM_001172411,NM_138959	chr1:116202262-116206889
AFE	chr1:+:VANGL1:AFE:0	chr1	+	116184574:116184707	116185250:116185327	116193898:116194105	N/A	NM_001172411,NM_001172412;NM_138959,NM_001172412	chr1:116184574-116194105
CAS	chr1:+:VCAM1:CAS:0	chr1	+	101190180:101190446	101194663:101194938	101196754:101197074	N/A	NM_080682,NM_001078;NM_080682,NM_001199834	chr1:101190180-101197074
A5SS	chr1:+:VCAM1:A5SS:0	chr1	+	101186032:101186121	101186032:101186307	101188576:101188896	N/A	NM_001199834,NM_001078;NM_001199834,NM_080682	chr1:101186032-101188896
CAS	chr1:+:VPS13D:CAS:0	chr1	+	12395762:12395884	12398288:12398362	12401837:12401942	N/A	NM_018156,NM_015378	chr1:12395762-12401942
CAS	chr1:+:VPS45:CAS:0	chr1	+	150065623:150065744	150070952:150071182	150082611:150082742	N/A	NM_001279353,NR_103998;NM_001279354,NR_103998;NM_001279355,NR_103998;NM_007259,NR_103998	chr1:150065623-150082742
CAS	chr1:+:VPS45:CAS:1	chr1	+	150082611:150082742	150115016:150115109	150116887:150117505	N/A	NM_001279354,NM_001279353;NM_001279355,NM_001279353;NM_007259,NM_001279353;NR_103998,NM_001279353	chr1:150082611-150117505
A3SS	chr1:+:VPS45:A3SS:0	chr1	+	150039725:150040007	150040667:150040821	150040687:150040821	N/A	NR_103998,NM_001279354	chr1:150039725-150040821
AFE	chr1:+:VPS45:AFE:0	chr1	+	150039350:150039663	150039725:150040007	150040687:150040821	N/A	NM_001279353,NR_103998	chr1:150039350-150040821
A3SS	chr1:-:VTCN1:A3SS:0	chr1	-	117712729:117712793	117699196:117699633	117699196:117699543	N/A	NM_001253849,NR_045603;NM_024626,NR_045603	chr1:117699196-117712793
AFE	chr1:-:VTCN1:AFE:0	chr1	-	117753446:117753582	117746240:117746458	117712729:117712793	N/A	NM_001253850,NM_001253849;NM_024626,NM_001253849;NR_045603,NM_001253849;NR_045604,NM_001253849	chr1:117712729-117753582
A3SS	chr1:+:VWA1:A3SS:0	chr1	+	1370903:1371201	1372307:1372864	1372702:1372864	N/A	NM_199121,NM_022834	chr1:1370903-1372864
CAS	chr1:-:WASF2:CAS:0	chr1	-	27739066:27739221	27736186:27736700	27730734:27734840	N/A	NM_001201404,NM_006990	chr1:27730734-27739221
A5SS	chr1:-:WDR26:A5SS:0	chr1	-	224619227:224619283	224619179:224619283	224612220:224612356	N/A	NM_001115113,NM_025160	chr1:224612220-224619283
A5SS	chr1:-:WDR47:A5SS:0	chr1	-	109556463:109556547	109556442:109556547	109553538:109554340	N/A	NM_001142551,NM_001142550;NM_014969,NM_001142550	chr1:109553538-109556547
A3SS	chr1:-:WDR47:A3SS:0	chr1	-	109553538:109554340	109547214:109547340	109547214:109547337	N/A	NM_001142551,NM_001142550;NM_001142551,NM_014969	chr1:109547214-109554340
CAS	chr1:+:WDR63:CAS:0	chr1	+	85551514:85551713	85555799:85555915	85559141:85559331	N/A	NM_001288563,NM_145172	chr1:85551514-85559331
A3SS	chr1:+:WDR65:A3SS:0	chr1	+	43638001:43638124	43638403:43638581	43638406:43638581	N/A	NM_001167965,NM_001195831;NM_001167965,NM_152498	chr1:43638001-43638581
A3SS	chr1:+:WDTC1:A3SS:0	chr1	+	27622817:27622892	27623539:27623647	27623542:27623647	N/A	NM_015023,NM_001276252	chr1:27622817-27623647
ALE	chr1:-:WLS:ALE:0	chr1	-	68603463:68603616	68591041:68592018	68564142:68564436	N/A	NM_001002292,NM_001193334;NM_001002292,NM_024911	chr1:68564142-68603616
AFE	chr1:+:WNT2B:AFE:0	chr1	+	113009163:113010213	113051370:113052066	113057496:113057716	N/A	NM_001291880,NM_024494	chr1:113009163-113057716
CAS	chr1:+:XPR1:CAS:0	chr1	+	180804010:180804181	180805658:180805852	180832844:180833010	N/A	NM_001135669,NM_004736	chr1:180804010-180833010
CAS	chr1:-:YIPF1:CAS:0	chr1	-	54325729:54325826	54320674:54320724	54317392:54317943	N/A	NM_018982,NR_036639;NM_018982,NR_036640	chr1:54317392-54325826
CAS	chr1:-:YIPF1:CAS:1	chr1	-	54355386:54355487	54354917:54355136	54354580:54354659	N/A	NR_036640,NM_018982;NR_036640,NR_036639	chr1:54354580-54355487
A3SS	chr1:-:YY1AP1:A3SS:0	chr1	-	155640111:155640255	155638418:155638568	155638418:155638508	N/A	NM_001198904,NM_001198899;NM_001198904,NM_001198900;NM_001198904,NM_001198901;NM_001198904,NM_001198902;NM_001198904,NM_001198903;NM_001198904,NM_001198906;NM_001198904,NM_018253;NM_001198904,NM_139119;NM_001198904,NM_139121;NM_001198905,NM_001198899;NM_001198905,NM_001198900;NM_001198905,NM_001198901;NM_001198905,NM_001198902;NM_001198905,NM_001198903;NM_001198905,NM_001198906;NM_001198905,NM_018253;NM_001198905,NM_139119;NM_001198905,NM_139121;NM_139118,NM_001198899;NM_139118,NM_001198900;NM_139118,NM_001198901;NM_139118,NM_001198902;NM_139118,NM_001198903;NM_139118,NM_001198906;NM_139118,NM_018253;NM_139118,NM_139119;NM_139118,NM_139121	chr1:155638418-155640255
AFE	chr1:-:YY1AP1:AFE:0	chr1	-	155658450:155658515	155657862:155658447	155650207:155650247	N/A	NM_001198902,NM_001198903;NM_001198902,NM_001198904	chr1:155650207-155658515
AFE	chr1:-:YY1AP1:AFE:1	chr1	-	155658721:155658764	155657862:155658447	155650207:155650247	N/A	NM_139121,NM_001198903;NM_139121,NM_001198904	chr1:155650207-155658764
AFE	chr1:-:YY1AP1:AFE:2	chr1	-	155658721:155658764	155658450:155658515	155650207:155650247	N/A	NM_139121,NM_001198902	chr1:155650207-155658764
AFE	chr1:-:YY1AP1:AFE:3	chr1	-	155658721:155658819	155657862:155658447	155650207:155650247	N/A	NM_001198901,NM_001198903;NM_001198901,NM_001198904	chr1:155650207-155658819
AFE	chr1:-:YY1AP1:AFE:4	chr1	-	155658721:155658819	155658450:155658515	155650207:155650247	N/A	NM_001198901,NM_001198902	chr1:155650207-155658819
AFE	chr1:-:YY1AP1:AFE:5	chr1	-	155658721:155658823	155658450:155658565	155657862:155657992	N/A	NM_001198906,NM_139119;NM_139118,NM_139119	chr1:155657862-155658823
AFE	chr1:-:YY1AP1:AFE:6	chr1	-	155658721:155658823	155658450:155658568	155657862:155657992	N/A	NM_001198906,NM_001198900;NM_001198906,NM_001198905;NM_001198906,NM_018253;NM_139118,NM_001198900;NM_139118,NM_001198905;NM_139118,NM_018253	chr1:155657862-155658823
A5SS	chr1:-:ZBTB17:A5SS:0	chr1	-	16274790:16274992	16274786:16274992	16273430:16273618	N/A	NM_001287604,NM_001287603;NM_001287604,NM_003443	chr1:16273430-16274992
A3SS	chr1:-:ZBTB17:A3SS:0	chr1	-	16269024:16269233	16268826:16268936	16268826:16268915	N/A	NM_001242884,NM_001287603;NM_001287604,NM_001287603;NM_003443,NM_001287603	chr1:16268826-16269233
A3SS	chr1:-:ZBTB17:A3SS:1	chr1	-	16273430:16273618	16272649:16272811	16272649:16272789	N/A	NM_001287603,NM_001242884;NM_001287604,NM_001242884;NM_003443,NM_001242884	chr1:16272649-16273618
A3SS	chr1:+:ZBTB37:A3SS:0	chr1	+	173838063:173838258	173839335:173840286	173839338:173840286	N/A	NM_032522,NM_001122770	chr1:173838063-173840286
CAS	chr1:+:ZBTB40:CAS:0	chr1	+	22778344:22778497	22779152:22779439	22816373:22817138	N/A	NM_014870,NM_001083621	chr1:22778344-22817138
CAS	chr1:+:ZBTB8A:CAS:0	chr1	+	33019060:33019141	33058532:33059355	33060655:33060824	N/A	NR_111980,NM_001040441;NR_111980,NM_001291496	chr1:33019060-33060824
A3SS	chr1:-:ZCCHC11:A3SS:0	chr1	-	52903892:52904007	52902427:52902650	52902427:52902647	N/A	NM_015269,NM_001009881	chr1:52902427-52904007
CAS	chr1:+:ZCCHC17:CAS:0	chr1	+	31791956:31792013	31810022:31810122	31811804:31811895	N/A	NM_001282571,NM_001282566;NM_001282571,NM_001282567;NM_001282571,NM_001282568;NM_001282571,NM_001282569;NM_001282571,NM_001282570;NM_001282571,NM_001282572;NM_001282571,NM_001282573;NM_001282571,NM_001282574;NM_001282571,NM_016505	chr1:31791956-31811895
A5SS	chr1:+:ZCCHC17:A5SS:0	chr1	+	31819487:31819587	31819487:31819665	31821676:31821821	N/A	NM_001282566,NM_001282567;NM_001282568,NM_001282567;NM_001282569,NM_001282567;NM_001282570,NM_001282567;NM_001282571,NM_001282567;NM_016505,NM_001282567	chr1:31819487-31821821
CAS	chr1:+:ZFYVE9:CAS:0	chr1	+	52729445:52729544	52732327:52732503	52734135:52734304	N/A	NM_007324,NM_004799	chr1:52729445-52734304
A3SS	chr1:+:ZMYM1:A3SS:0	chr1	+	35544964:35545043	35558921:35559042	35558995:35559042	N/A	NM_001289090,NM_001289091	chr1:35544964-35559042
